ID,TITULO,SUBTITULO,AUTOR,EDITORA,EDICAO,ANO,N_PAGINAS,LIDO,IDIOMA
201,Conhecer Jesus é Tudo,,Alejandro Bullón,Casa Publicadora Brasileira,37,2014,96,N,POR
209,Um discípulo refletindo o ensino do mestre,,Walter Nather Jr.,Willem Books,1,2012,150,S,POR
210,Google Android,Aprenda a criar aplicações para dispositivos móveis com o Android SDK,Ricardo R. Lecheta,Novatec,3,2013,821,N,POR
211,Chile Souvenir,,,Editora Kactus,,,64,N,ESP
213,The Mary Kay Way,O estilo de liderança de uma das maiores empreendedoras Norte-Americanas,Mary Kay Ash,CLA Editora,,2013,287,S,POR
214,A Sombra do Vento,,Carlos Ruiz Zafón,Suma de Letras,,2001,399,N,POR
216,Os crimes de Stalin,A trajetória assassina do Czar Vermelho,Nigel Cawthorne,Madras,,2012,246,S,POR
217,Sonhos não têm limites,A trajetória do professor que se tornou um dos maiores empreendores do Brasil,Ignácio de Loyola Brandão,Gente Editora,,2013,240,S,POR
218,A Cabana,,William P. Young,Arqueiro,,2008,240,S,POR
222,A tempestade a cobra e a ilha,Entendendo as lutas da vida,Lúcio Barreto Jr,Editora Basileia ,1,2011,48,S,POR
223,Jogos mortais e + 51 esboços de sermões surtados,,Davi Lago e Lúcio Barreto Jr,Editora Basileia ,1,2010,154,N,POR
224,Loucos por Jesus Volume 1,Cristãos que marcaram o mundo,Lúcio Barreto Jr,Editora Central Gospel,1,2012,112,S,POR
225,100 dicas para pregadores loucos por Jesus,,Lúcio Barreto Jr,,1,2009,64,N,POR
226,Johnny esta noite pedirão sua alma,,Lúcio Barreto Jr,Editora Central Gospel,1,2012,88,S,POR
227,Sábias prioridades,Ha valores que não passam com o tempo,Perilo Borba,,1,2014,146,S,POR
228,Arquivos secretos do ministério loucos por Jesus,,Lúcio Barreto Jr & Davi Lago,Editora Basileia,1,2011,44,N,POR
229,Milagres que acontecem,Almeje grandes coisas e grandes coisas vão acontecer,Mary Kay Ash,,3,,196,N,POR
230,Daniel Segredos da profecia,Descubra como a profecia nos habilita a enfrentar o futuro com confiança,Arilton Oliveira,Casa Publicadora Brasileira,1,2013,208,S,POR
